probability_field,horizon_days,forecast_markets,brier_score,mean_absolute_error,mean_probability,realized_yes_rate,accuracy_at_half,sharpness,market_coverage_pct,baseline_0_5_brier,baseline_sample_rate_brier,gain_vs_0_5,gain_vs_sample_rate
price_mean,1,50,0.0457478694,0.089242,0.297054,0.3,0.96,0.44712599999999997,100.0,0.25,0.21,0.2042521306,0.1642521306
price_mean,3,50,0.0759688364,0.13416,0.3075,0.3,0.9,0.42529999999999996,100.0,0.25,0.21,0.17403116359999998,0.1340311636
price_mean,7,49,0.08017960979591837,0.14864897959183673,0.3069673469387755,0.30612244897959184,0.9183673469387755,0.41219183673469384,98.0,0.25,0.21241149521032904,0.16982039020408163,0.13223188541441067
