market_id,market_ticker,series_ticker,end_period_ts,date_utc,price_open,price_low,price_high,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1712808000,2024-04-11 00:00:00+00:00,,,,,,,0.0,0.96,0.0,0.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1712894400,2024-04-12 00:00:00+00:00,,,,,,,0.51,0.96,0.0,0.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1712980800,2024-04-13 00:00:00+00:00,0.85,0.85,0.85,0.85,0.85,,0.81,0.9,25.0,25.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1713067200,2024-04-14 00:00:00+00:00,,,,,,0.85,0.51,0.96,0.0,25.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1713153600,2024-04-15 00:00:00+00:00,,,,,,0.85,0.78,0.87,0.0,25.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1713240000,2024-04-16 00:00:00+00:00,0.78,0.74,0.78,0.74,0.7405,0.85,0.51,0.82,74.0,73.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1713326400,2024-04-17 00:00:00+00:00,,,,,,0.74,0.51,0.84,0.0,73.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1713412800,2024-04-18 00:00:00+00:00,,,,,,0.74,0.51,0.96,0.0,73.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1713499200,2024-04-19 00:00:00+00:00,,,,,,0.74,0.51,0.96,0.0,73.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1713585600,2024-04-20 00:00:00+00:00,0.8,0.8,0.8,0.8,0.8,0.74,0.74,0.83,40.0,73.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1713672000,2024-04-21 00:00:00+00:00,,,,,,0.8,0.51,0.96,0.0,73.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1713758400,2024-04-22 00:00:00+00:00,,,,,,0.8,0.78,0.87,0.0,73.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1713844800,2024-04-23 00:00:00+00:00,0.82,0.8,0.82,0.8,0.8033,0.8,0.79,0.96,480.0,553.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1713931200,2024-04-24 00:00:00+00:00,,,,,,0.8,0.79,0.96,0.0,553.0
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,KXBTCATH,1714017600,2024-04-25 00:00:00+00:00,0.78,0.76,0.78,0.76,0.7781,0.8,0.68,0.79,265.0,818.0
