series_category,markets,total_volume_contracts,median_lifetime_days,resolved_yes_rate,mean_observed_days,forecast_markets_1d,brier_score_1d,baseline_0_5_brier_1d,mean_probability_1d,accuracy_at_half_1d,forecast_coverage_pct_1d,gain_vs_0_5_1d
Elections,21,151441327.29,217.9626273148148,0.42857142857142855,227.14285714285714,21,0.10114314857142859,0.25,0.41662857142857146,0.9047619047619048,100.0,0.1488568514285714
Economics,5,68755746.94,303.1659722222222,0.2,284.4,5,0.027801730000000004,0.25,0.20642,1.0,100.0,0.22219827
Politics,12,60363549.96,149.40916666666666,0.16666666666666666,138.16666666666666,12,0.0007747208333333333,0.25,0.17054166666666667,1.0,100.0,0.24922527916666667
Entertainment,11,30979190.28,45.05653935185185,0.36363636363636365,83.9090909090909,11,0.01924375272727273,0.25,0.3231818181818182,1.0,100.0,0.23075624727272726
Science and Technology,1,3153286.89,49.75,0.0,50.0,1,0.0001,0.25,0.01,1.0,100.0,0.2499
