probability_field,horizon_days,forecast_markets,brier_score,mean_absolute_error,mean_probability,realized_yes_rate,accuracy_at_half,sharpness,market_coverage_pct,baseline_0_5_brier,baseline_sample_rate_brier,gain_vs_0_5,gain_vs_sample_rate
price_close,1,50,0.05335138,0.1005,0.30226,0.32,0.94,0.4406999999999999,100.0,0.25,0.2176,0.19664862,0.16424861999999998
price_close,3,49,0.08106416326530612,0.1383673469387755,0.3162448979591837,0.30612244897959184,0.8979591836734694,0.42869387755102034,98.0,0.25,0.21241149521032904,0.16893583673469387,0.1313473319450229
price_close,7,48,0.07955364583333334,0.15489583333333334,0.3084375,0.3125,0.8958333333333334,0.40114583333333337,96.0,0.25,0.21484375,0.17044635416666665,0.13529010416666665
price_mean,1,50,0.049681854000000004,0.09779600000000001,0.30785599999999996,0.32,0.96,0.4385719999999999,100.0,0.25,0.2176,0.200318146,0.167918146
price_mean,3,49,0.07751598081632653,0.1366408163265306,0.3135183673469388,0.30612244897959184,0.8979591836734694,0.4240326530612244,98.0,0.25,0.21241149521032904,0.17248401918367345,0.1348955143940025
price_mean,7,48,0.08179061083333333,0.15063333333333334,0.31224999999999997,0.3125,0.9166666666666666,0.411475,96.0,0.25,0.21484375,0.16820938916666667,0.13305313916666667
