market_id,market_ticker,event_ticker,series_ticker,market_question,market_subtitle,yes_subtitle,no_subtitle,market_rules,event_question,event_subtitle,series_title,series_category,series_frequency,market_status,market_result,open_time,close_time,passes_volume_filter,passes_lifetime_filter,passes_both_filters,volume_fp,lifetime_days,history_start_ts,history_end_ts,expected_daily_rows,received_daily_rows,first_observation_ts,last_observation_ts,download_status,actual_candles_exported
kalshi:PAYROLLS-24JUN-T150000,PAYROLLS-24JUN-T150000,PAYROLLS-24JUN,KXPAYROLLS,Will above 150000 jobs be added in June 2024?,"150,000","Above 150,000","150,000 or below","If the increase in total non-farm payroll employment is above 150000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of June 2024, then the market resolves to Yes.",Jobs numbers in Jun 2024?,In Jun 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-05-24T14:00:00Z,2024-07-05T12:25:00Z,1,1,1,34669.0,41.93402777777778,1716559200,1720182300,43,26,1717732800.0,1720152000.0,success,26
kalshi:PAYROLLS-24JUN-T200000,PAYROLLS-24JUN-T200000,PAYROLLS-24JUN,KXPAYROLLS,Will above 200000 jobs be added in June 2024?,"200,000","Above 200,000","200,000 or below","If the increase in total non-farm payroll employment is above 200000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of June 2024, then the market resolves to Yes.",Jobs numbers in Jun 2024?,In Jun 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-05-24T14:00:00Z,2024-07-05T12:25:00Z,1,1,1,27533.0,41.93402777777778,1716559200,1720182300,43,22,1717732800.0,1720152000.0,success,22
kalshi:PAYROLLS-24JUN-T272000,PAYROLLS-24JUN-T272000,PAYROLLS-24JUN,KXPAYROLLS,Will above 272000 jobs be added in June 2024?,"272,000:: Above last month's number","Above 272,000","272,000 or below","If the increase in total non-farm payroll employment is above 272000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of June 2024, then the market resolves to Yes.",Jobs numbers in Jun 2024?,In Jun 2024,Jobs numbers,Economics,monthly,finalized,no,2024-06-07T12:31:00Z,2024-07-05T12:25:00Z,1,1,1,11141.0,27.995833333333334,1717763460,1720182300,29,23,1717819200.0,1720152000.0,success,23
kalshi:PAYROLLS-24MAR-T100000,PAYROLLS-24MAR-T100000,PAYROLLS-24MAR,KXPAYROLLS,Will above 100000 jobs be added in March 2024?,"100,000","Above 100,000","100,000 or below","If the increase in total  non-farm payroll employment is above 100000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of March 2024, then the market resolves to Yes.",Jobs numbers in Mar 2024?,In Mar 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-02-23T15:00:00Z,2024-04-05T12:25:00Z,1,1,1,10283.0,41.892361111111114,1708700400,1712319900,43,25,1709269200.0,1712289600.0,success,25
kalshi:PAYROLLS-24MAR-T175000,PAYROLLS-24MAR-T175000,PAYROLLS-24MAR,KXPAYROLLS,Will above 175000 jobs be added in March 2024?,"175,000","Above 175,000","175,000 or below","If the increase in total  non-farm payroll employment is above 175000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of March 2024, then the market resolves to Yes.",Jobs numbers in Mar 2024?,In Mar 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-03-08T16:00:00Z,2024-04-05T12:25:00Z,1,1,1,14069.0,27.850694444444443,1709913600,1712319900,29,23,1709960400.0,1712289600.0,success,23
kalshi:PAYROLLS-24MAR-T200000,PAYROLLS-24MAR-T200000,PAYROLLS-24MAR,KXPAYROLLS,Will above 200000 jobs be added in March 2024?,"200,000","Above 200,000","200,000 or below","If the increase in total  non-farm payroll employment is above 200000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of March 2024, then the market resolves to Yes.",Jobs numbers in Mar 2024?,In Mar 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-02-23T15:00:00Z,2024-04-05T12:25:00Z,1,1,1,28184.0,41.892361111111114,1708700400,1712319900,43,32,1709269200.0,1712289600.0,success,32
kalshi:PAYROLLS-24MAR-T275000,PAYROLLS-24MAR-T275000,PAYROLLS-24MAR,KXPAYROLLS,Will above 275000 jobs be added in March 2024?,"275,000","Above 275,000","275,000 or below","If the increase in total  non-farm payroll employment is above 275000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of March 2024, then the market resolves to Yes.",Jobs numbers in Mar 2024?,In Mar 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-03-08T13:32:00Z,2024-04-05T12:25:00Z,1,1,1,16857.0,27.95347222222222,1709904720,1712319900,29,27,1709960400.0,1712289600.0,success,27
kalshi:PAYROLLS-24MAR-T300000,PAYROLLS-24MAR-T300000,PAYROLLS-24MAR,KXPAYROLLS,Will above 300000 jobs be added in March 2024?,"300,000","Above 300,000","300,000 or below","If the increase in total  non-farm payroll employment is above 300000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of March 2024, then the market resolves to Yes.",Jobs numbers in Mar 2024?,In Mar 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-02-23T15:00:00Z,2024-04-05T12:25:00Z,1,1,1,14181.0,41.892361111111114,1708700400,1712319900,43,26,1709269200.0,1712289600.0,success,26
kalshi:PAYROLLS-24MAY-T100000,PAYROLLS-24MAY-T100000,PAYROLLS-24MAY,KXPAYROLLS,Will above 100000 jobs be added in May 2024?,"100,000","Above 100,000","100,000 or below","If the increase in total  non-farm payroll employment is above 100000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of May 2024, then the market resolves to Yes.",Jobs numbers in May 2024?,In May 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-04-19T14:00:00Z,2024-06-07T12:25:00Z,1,1,1,15455.0,48.93402777777778,1713535200,1717763100,50,24,1713844800.0,1717732800.0,success,24
kalshi:PAYROLLS-24MAY-T150000,PAYROLLS-24MAY-T150000,PAYROLLS-24MAY,KXPAYROLLS,Will above 150000 jobs be added in May 2024?,"150,000","Above 150,000","150,000 or below","If the increase in total  non-farm payroll employment is above 150000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of May 2024, then the market resolves to Yes.",Jobs numbers in May 2024?,In May 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-04-19T14:00:00Z,2024-06-07T12:25:00Z,1,1,1,19090.0,48.93402777777778,1713535200,1717763100,50,26,1713844800.0,1717732800.0,success,26
